ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05418	Fluid shear stress and atherosclerosis	52/2195	139/8463	0.0017710596880765816	0.009100522089501205	0.005535457810506563	6714/71/3383/5291/5175/3725/5747/5154/3162/6385/2817/7295/6416/4790/445/857/5600/5293/1535/6382/7124/4313/10365/92/2941/5155/1906/7422/1728/27035/4259/3553/6383/1843/60/5327/6347/3552/4257/93/859/7412/3554/387/805/7056/2353/3674/8503/858/6300/658	52
hsa05332	Graft-versus-host disease	20/2195	42/8463	0.001982284878062583	0.010031562867771253	0.006101770039331396	355/3134/941/942/7124/3109/3569/3553/3002/3135/3552/3133/3105/3107/3123/3127/3106/3108/3824/356	20
hsa04912	GnRH signaling pathway	37/2195	93/8463	0.002293221777566497	0.011431881697122536	0.006953524007389378	6714/2185/3725/2776/5604/6416/5578/5331/112/1958/5338/3710/5332/776/816/5600/5579/815/4323/4313/5567/4214/5605/1839/2778/468/3845/111/109/107/805/8605/2798/6300/5321/3972/114	37
hsa04724	Glutamatergic synapse	44/2195	115/8463	0.0023350536653704602	0.011469234179907849	0.006976243922856017	94235/2787/2776/5578/5331/2901/112/2783/10681/5338/3710/5332/2775/776/1742/2792/9455/5579/2900/57030/5567/85358/2902/2778/6506/54331/6507/111/109/9454/22941/2918/2904/2791/2906/107/8605/2915/2893/10991/2786/5321/50944/114	44
hsa05130	Pathogenic Escherichia coli infection	69/2195	197/8463	0.002658369421866548	0.012868049085556913	0.007827083118539187	4792/6714/71/355/57121/347733/10810/3725/5861/7280/112714/84790/4641/10109/203068/2017/4790/7846/3688/84617/8737/8717/10787/4629/7278/5058/29108/1902/8440/64005/23191/8976/5600/2597/8795/7124/347688/842/4642/3569/27128/10382/9265/54205/3553/9826/60/840/8743/4627/4646/3576/2534/10458/137075/4628/4615/4645/4430/3554/2149/387/23562/2353/100506658/1366/356/6300/283446	69
hsa05225	Hepatocellular carcinoma	60/2195	168/8463	0.002957571963946102	0.014111843370828544	0.008583629910399964	598/71/1026/5291/122011/1452/3162/5604/51384/5578/6604/7048/7040/10023/2535/5335/23401/4616/6934/6932/6595/7480/5293/4040/5579/7471/1021/6605/2941/5605/7855/8193/4041/6464/1728/4259/7482/3845/8110/54361/1647/8321/7481/1869/60/196528/7477/7473/4257/4088/83439/4087/7039/8322/7474/595/10912/7042/7483/8503	60
hsa04625	C-type lectin receptor signaling pathway	40/2195	104/8463	0.003230288527398816	0.015196005185228232	0.009243079107308694	4792/6367/6714/4791/5291/3725/6361/1959/9641/4790/9020/3710/5058/29108/5600/5293/6850/6237/7124/4046/338339/3569/1960/3845/3553/3592/1263/4776/64581/3586/5743/53342/387/805/93978/51561/8503/6300/22808/10332	40
hsa04929	GnRH secretion	27/2195	64/8463	0.0032971564697953826	0.015295142512661916	0.009303380097522058	5291/3780/9568/2776/5604/5578/5331/3710/5332/776/5293/5579/3767/2100/8913/3783/5605/3845/84634/57657/3782/8911/610/6696/408/8503/3972	27
hsa04062	Chemokine signaling pathway	67/2195	192/8463	0.0033651979561829044	0.015396933114590275	0.009365294960970449	4792/6367/94235/6714/2185/5291/6361/5747/1236/2268/10235/2787/2776/5604/5906/5335/5331/4790/112/1233/2869/2783/10681/5332/2792/5058/6777/3718/5293/6376/1398/5579/23533/5567/3055/6352/6351/6774/6464/6346/3845/9844/6347/54331/3576/2833/6362/111/10563/3702/109/6368/2791/6364/7852/7074/146850/107/6375/387/6357/58191/408/8503/1232/2786/114	67
hsa05135	Yersinia infection	50/2195	137/8463	0.0038637067981876216	0.017438892845873858	0.01060733160811111	4792/6714/2185/71/5291/3932/3725/5747/10109/2776/5604/6416/5335/4790/2335/3688/8395/29108/8976/5600/5293/1398/391/7124/64283/148022/5605/3569/8874/3678/58484/3553/60/9844/1793/6347/3576/925/3586/10458/27040/4615/926/2533/387/2353/8503/927/920/6300	50
hsa05224	Breast cancer	53/2195	147/8463	0.004013843524672593	0.017874983163208614	0.010872586670341201	1026/4791/5291/122011/2260/3725/1452/5604/51384/10023/2535/23401/4616/6934/6932/3280/7480/5293/4040/2100/7471/1021/5605/2253/7855/4041/6464/7482/3845/54361/1647/8321/7481/1869/7477/7473/3714/83439/182/54567/8817/23462/8322/3815/7474/8600/2324/595/10912/7483/2353/2099/8503	53
hsa00330	Arginine and proline metabolism	22/2195	50/8463	0.004158410660567705	0.018275120534600175	0.011115973095423367	1152/224/8974/6611/8659/113451/5033/65263/4953/4128/4942/501/5625/54498/217/6723/4129/26/2593/6303/4842/4843	22
hsa05167	Kaposi sarcoma-associated herpesvirus infection	67/2195	194/8463	0.004452378176257511	0.0191296276407665	0.011635733169454567	4792/94235/6714/355/3383/1026/5291/3725/3134/2787/5604/6416/942/9641/7297/5335/4790/1233/2783/10681/9976/6934/3710/8717/84557/6932/2792/1437/5600/5293/6850/23533/1021/3055/148022/842/5155/5605/3569/6774/637/7422/54205/3845/3459/1869/22863/3135/54331/3133/3576/3105/4776/83439/3107/7098/2791/5743/146850/3106/805/595/2353/8503/1232/6300/2786	67
hsa04970	Salivary secretion	36/2195	93/8463	0.004467398071795769	0.0191296276407665	0.011635733169454567	2776/5578/5331/112/154/3710/5332/6522/5579/481/6548/5567/3783/493/2778/480/147/5593/482/486/111/109/477/153/2983/952/107/805/1471/491/4025/3778/4842/683/4069/114	36
hsa05132	Salmonella infection	83/2195	249/8463	0.005036337536203872	0.021292870089773333	0.01295154089923181	4792/9367/71/5291/347733/10810/29109/3725/7280/112714/84790/10109/203068/7295/5604/2317/6416/4790/64746/5216/329/7846/84617/8737/6934/64837/8717/10787/7278/6932/5058/29108/23191/2318/8976/5600/5293/2597/6237/10398/8795/391/7124/197259/10120/347688/6281/1778/11035/5788/5605/3569/27128/10382/8767/9265/54205/57381/58484/3553/60/840/9844/8743/10540/4646/147700/3576/83439/4633/51209/338382/4615/3798/6500/257364/387/113146/26084/2353/29895/5288/6300	83
hsa05169	Epstein-Barr virus infection	69/2195	202/8463	0.005298123611842879	0.02211966607944402	0.013454445487969417	7431/4792/7128/960/355/3383/1026/2208/4791/5291/3516/864/3725/3134/4734/958/6416/9641/7297/4616/4790/8737/5717/9020/8717/3280/3718/5600/5293/79685/6850/965/7124/29760/7979/10213/8819/3109/3683/1021/898/894/842/3569/6774/637/54205/9612/1647/1869/3135/3133/3105/3107/890/3123/9134/916/4615/919/917/3127/3106/595/915/10912/3108/8503/6300	69
hsa05032	Morphine addiction	35/2195	91/8463	0.005646588860079605	0.023283465176130714	0.01416233463281824	94235/9568/2787/2561/5578/112/2869/2783/10681/5142/2775/2792/5139/5579/5567/5141/5150/140679/2778/5144/50940/54331/2562/111/109/2791/107/4988/408/2559/27115/774/2786/114/5140	35
hsa04611	Platelet activation	45/2195	124/8463	0.006664306757722523	0.027144859232674668	0.01651105525340753	6714/71/5739/5291/10235/2776/1278/5906/1277/5331/112/3688/3710/5332/5600/5293/6850/4638/23533/5567/2778/83660/60/5593/6916/2811/2534/10125/111/109/2983/6915/146850/2149/107/85366/2814/387/340156/8605/3674/8503/6300/5321/114	45
hsa04022	cGMP-PKG signaling pathway	58/2195	167/8463	0.006803987623329661	0.027379902002314542	0.016654021703267272	291/7416/4882/2776/5604/5331/112/154/3710/5332/776/5581/5139/4881/10398/4638/90993/23533/7417/481/4209/493/5997/5605/468/3667/480/147/5593/293/482/4776/486/3643/111/10335/109/477/153/2983/4624/9586/6546/4985/6547/146850/107/85366/387/340156/805/491/4625/3778/6543/114/5140/1258	58
hsa05221	Acute myeloid leukemia	27/2195	67/8463	0.006947281110611456	0.027623712987431267	0.01680232148305778	5291/1848/5604/3684/1053/6776/5914/4790/6934/5371/6932/6777/1437/5293/597/3728/2322/5605/6774/3845/83439/890/7704/1050/3815/595/8503	27
hsa04930	Type II diabetes mellitus	20/2195	46/8463	0.007218345879132991	0.0283638532191814	0.017252517085729623	5315/9021/5291/776/5581/5293/8835/7124/3767/389692/3099/8913/3667/2645/3643/777/6833/80201/8503/774	20
hsa04024	cAMP signaling pathway	75/2195	225/8463	0.007417005941015885	0.02880558121278262	0.017521201304970202	4792/5291/3725/9568/6752/5604/5906/4790/112/154/5338/5142/5465/776/816/6662/5058/64091/5293/5139/4881/6237/10398/64411/51738/627/90993/815/481/6548/1261/5567/5141/493/2902/5605/1906/2778/5144/5020/480/51196/11069/6262/482/486/5348/111/10257/109/477/153/9586/2904/5732/2737/610/2906/7074/814/2149/107/387/805/491/2353/8503/2893/2696/1395/3972/114/5140/1258/3360	75
hsa04380	Osteoclast differentiation	46/2195	128/8463	0.007516274463005214	0.02885558242119243	0.017551614898487673	2213/4792/4791/9021/5291/10859/3932/3725/5604/140885/8792/7297/7048/7040/4790/9020/5468/11006/2355/5600/5293/1535/6850/7124/29760/10288/9846/11027/1435/4689/27035/3553/3459/3552/11024/2534/4286/3554/814/8600/7042/2353/126014/2274/8503/6300	46
hsa05323	Rheumatoid arthritis	35/2195	93/8463	0.008347802946352683	0.03168370663729314	0.01927184173021612	3383/1493/3725/10312/941/8792/942/7040/155066/1437/23545/7124/245973/284/3109/3683/3600/6352/3569/7422/3689/1435/4312/3553/6347/3552/3576/3123/6364/3127/8600/7042/2353/51561/3108	35
hsa05219	Bladder cancer	18/2195	41/8463	0.009384499827836163	0.035218235308958186	0.021421744136870247	6714/1026/5604/1890/4313/9252/5605/1839/7422/4312/3845/1869/2261/3576/7057/595/999/7380	18
hsa05215	Prostate cancer	36/2195	97/8463	0.009667504925488346	0.0358771849457012	0.021822554978002933	4792/1026/5328/5291/2260/5154/5604/4790/6934/6692/6932/2263/2119/5293/90993/367/898/6935/842/5155/5605/468/2308/3845/1869/5156/5327/4824/83439/56034/7039/9134/9586/595/80310/8503	36
hsa04350	TGF-beta signaling pathway	39/2195	108/8463	0.012040918817205572	0.044194141592820445	0.026881403490117698	2615/4092/7048/7040/4756/9372/3399/151449/3398/4052/1030/7124/2200/56963/4091/92/5308/8200/83729/9765/3624/4086/2331/285704/93/4088/4681/3626/4087/375387/130399/7057/6500/387/7042/4838/3077/654/658	39
hsa04913	Ovarian steroidogenesis	21/2195	51/8463	0.012353689249872053	0.04484926314627463	0.027279885872143094	112/122970/5567/949/2778/51478/6770/3643/111/109/3949/5743/1588/107/1543/1545/8605/654/5321/3972/114	21
hsa04972	Pancreatic secretion	37/2195	102/8463	0.013144105752905371	0.04710491699019387	0.028651903495453563	2776/5906/5578/8766/5331/112/3710/5332/6522/5579/481/6548/493/2778/480/5644/760/26279/6262/482/486/111/109/5874/477/8671/952/1811/3784/1358/107/387/491/8399/3778/683/114	37
hsa04917	Prolactin signaling pathway	27/2195	70/8463	0.013429910536319459	0.04710491699019387	0.028651903495453563	6714/1154/9021/5291/5604/6776/8792/4790/9306/6777/5600/5293/8835/2100/894/5605/6774/6464/3845/2645/8600/595/2353/2099/8503/6300/3972	27
hsa05230	Central carbon metabolism in cancer	27/2195	70/8463	0.013429910536319459	0.04710491699019387	0.028651903495453563	5315/5291/2260/5223/5211/5604/5214/3939/5163/2263/5293/3418/3099/5162/5979/2322/5605/9123/3845/5156/2261/2645/4914/3815/8140/80201/8503	27
hsa05145	Toxoplasmosis	40/2195	112/8463	0.013539137817540754	0.04710491699019387	0.028651903495453563	4792/598/959/958/7297/7040/4790/329/3688/3306/3911/3912/2775/5600/7124/23533/3587/3109/4261/842/6774/54205/3655/3592/3459/3908/3914/345611/3586/3123/3949/4615/10319/3918/3127/146850/7042/3108/6300/4843	40
hsa05226	Gastric cancer	51/2195	149/8463	0.014398241881060979	0.04957745142550894	0.030155840293486367	1026/5291/122011/1452/5604/51384/7048/7040/10023/2535/23401/4616/6934/6932/7480/2263/1030/5293/4040/7471/3728/898/5243/5605/2253/7855/4041/6464/5915/7482/3845/54361/1647/8321/7481/1869/7477/7473/4088/83439/4087/8817/9134/8322/7474/595/10912/7042/7483/999/8503	51
