	Control_1	Control_2	Control_3	Control_4	Treatment_1	Treatment_2	Treatment_3	Treatment_4
ENSG00000130023	64	64	118	156	315	380	257	441
ENSG00000198719	0	0	13	6	3	13	6	10
ENSG00000112584	209	200	246	296	1220	1264	1068	1399
ENSG00000008018	1518	1701	1865	2749	6719	6666	5217	7431
ENSG00000112592	129	135	152	221	656	731	500	766
ENSG00000071994	797	857	839	1093	2688	2616	2164	2978
ENSG00000177706	100	96	3	2	20	20	3	25
ENSG00000249852	0	0	0	0	0	0	0	0
ENSG00000248767	0	3	1	1	0	0	0	0
ENSG00000197461	153	155	125	146	12	14	6	13
ENSG00000188191	666	713	708	823	795	815	713	1050
ENSG00000164818	73	58	141	181	516	532	455	665
ENSG00000164828	1036	934	403	525	2402	2777	2276	2862
ENSG00000239857	0	0	0	0	0	0	0	0
ENSG00000105963	33	33	4	15	11	9	10	13
ENSG00000240230	122	103	98	125	432	543	475	638
ENSG00000073067	0	0	0	1	0	0	0	0
ENSG00000146540	260	270	392	607	888	766	617	925
ENSG00000164849	0	0	0	0	0	0	0	0
ENSG00000164850	0	0	0	0	0	0	0	0
ENSG00000178381	144	145	208	262	340	398	292	371
ENSG00000164853	0	0	0	0	0	0	0	0
ENSG00000164877	7	16	0	1	3	5	2	1
ENSG00000164880	570	473	624	729	1463	1667	1443	2099
ENSG00000198517	296	247	196	221	773	888	763	1062
ENSG00000164855	0	0	0	0	2	0	0	2
ENSG00000157778	101	88	123	182	566	637	588	728
ENSG00000225968	2	1	2	2	28	17	12	23
ENSG00000002822	0	0	0	0	0	0	0	0
ENSG00000286192	0	0	0	0	0	0	0	0
ENSG00000122687	0	0	0	0	0	0	0	0
ENSG00000106268	254	281	229	300	720	890	658	858
ENSG00000106266	3783	3637	5133	6056	5378	5508	4697	6843
ENSG00000106263	1071	1094	1551	1906	5189	5847	4523	6452
ENSG00000136213	390	325	243	323	382	473	439	536
ENSG00000275572	1	0	0	0	0	0	0	0
ENSG00000106003	908	789	852	1138	5090	6549	5333	6830
ENSG00000106009	385	324	431	536	1301	1633	1263	1638
ENSG00000106012	45	30	67	83	162	196	165	272
ENSG00000136295	570	450	874	981	1396	1260	1143	1761
ENSG00000174945	235	178	139	137	110	125	103	138
ENSG00000146535	333	298	361	386	484	579	499	582
ENSG00000198286	1257	1286	1077	1332	6716	7730	6710	9603
ENSG00000146555	2	9	6	5	14	5	4	11
ENSG00000164916	1220	971	527	734	780	843	763	1178
ENSG00000242802	396	348	532	565	1371	1613	1351	1862
ENSG00000157927	0	1	1	1	4	3	2	5
ENSG00000218823	0	0	0	0	0	0	0	0
ENSG00000136297	0	0	0	0	0	0	0	0
ENSG00000272968	258	205	190	226	654	674	597	725
ENSG00000146587	0	0	0	0	0	0	0	0
ENSG00000157954	848	818	903	1026	3532	3887	3347	4403
ENSG00000164638	2	2	12	18	47	45	36	92
ENSG00000182095	440	360	256	369	709	931	724	1249
ENSG00000155034	128	95	167	163	350	438	386	523
ENSG00000075624	84087	77875	212731	246351	140480	148373	122635	161905
ENSG00000075618	1651	1662	2035	2360	10	8	8	14
ENSG00000011275	497	441	655	761	1539	1821	1540	2155
ENSG00000122543	0	0	0	0	0	7	0	12
ENSG00000122674	532	595	1136	1410	2156	2164	1921	2573
ENSG00000155026	3	1	0	0	4	5	1	1
ENSG00000122512	252	270	180	265	537	570	469	697
ENSG00000106305	118	99	196	232	455	511	389	560
ENSG00000086232	2235	2048	2433	3181	5093	5609	4759	5865
ENSG00000157999	0	0	0	0	0	0	0	0
ENSG00000106346	212	156	177	211	417	496	379	518
ENSG00000008256	53	51	38	39	45	32	35	53
ENSG00000286075	0	0	0	0	0	0	0	0
ENSG00000178397	0	0	0	0	0	0	0	0
ENSG00000136238	3520	3550	3301	4112	5645	6289	5254	6599
ENSG00000164535	116	81	153	160	529	635	511	546
ENSG00000136240	0	0	0	0	0	0	0	0
ENSG00000215045	35	18	9	4	7	9	2	10
ENSG00000136247	225	270	306	360	1330	1437	1281	1500
ENSG00000146576	282	289	406	440	1178	1439	1118	1537
ENSG00000236609	41	39	27	38	203	265	222	275
ENSG00000205903	466	427	354	364	1003	1211	1019	1397
ENSG00000164631	329	309	307	441	1750	1897	1484	1885
ENSG00000169402	3	1	0	1	2	1	1	0
ENSG00000146574	626	661	972	1397	2192	2305	1960	2475
ENSG00000106392	297	251	345	544	1700	1769	1421	1774
ENSG00000215018	2	0	3	0	2	1	0	5
ENSG00000164654	519	540	593	789	1667	1741	1332	1889
ENSG00000106399	151	194	246	346	912	926	728	961
ENSG00000219545	205	174	208	290	1441	1459	1392	1568
ENSG00000106415	247	224	184	244	967	976	896	1032
ENSG00000003147	9	9	19	29	14	24	21	21
ENSG00000122584	4	3	0	6	1	1	0	6
ENSG00000189043	985	955	1106	1493	3937	3773	3096	4002
ENSG00000106443	225	253	299	501	1347	1578	1258	1559
ENSG00000005108	8	7	3	4	4	5	9	15
ENSG00000106460	112	82	222	352	1359	1444	1063	1509
ENSG00000146530	2	0	0	0	0	3	0	0
ENSG00000226690	3	5	2	1	7	6	6	10
ENSG00000006747	0	0	0	0	3	0	3	0
ENSG00000122644	139	134	119	150	402	400	313	393
ENSG00000006468	275	230	398	344	1	0	0	1
ENSG00000136267	9	5	5	8	7	8	3	13
ENSG00000187546	5	1	0	0	1	1	0	0
ENSG00000106511	1	1	0	0	0	0	0	0
ENSG00000214960	6	6	3	9	37	19	34	39
ENSG00000171243	0	1	0	0	0	0	0	0
ENSG00000205858	1	1	0	0	0	0	0	0
ENSG00000106524	133	129	127	173	572	677	564	694
ENSG00000136261	852	944	1114	1252	1226	1099	897	1439
ENSG00000106537	31	36	9	20	179	230	162	238
ENSG00000106541	0	0	0	0	1	0	0	0
ENSG00000173467	0	1	1	0	2	2	2	2
ENSG00000106546	24	12	8	6	4	11	5	12
ENSG00000283321	4	1	0	0	1	0	3	1
ENSG00000071189	343	324	486	606	1052	1054	908	1164
ENSG00000279048	0	0	1	1	2	3	1	1
ENSG00000280340	0	0	0	0	0	0	0	0
ENSG00000229937	54	61	84	84	1	2	0	1
ENSG00000048052	89	86	390	472	3943	3244	3105	4704
ENSG00000122691	4	6	0	1	0	0	0	2
ENSG00000146618	0	0	0	0	0	0	0	0
ENSG00000105849	93	100	221	356	1003	857	750	1120
ENSG00000173452	1	0	0	1	0	0	1	0
ENSG00000183742	3	1	1	0	3	0	1	2
ENSG00000105855	53	30	3	2	0	1	1	1
ENSG00000004846	1	1	4	0	0	2	0	2
ENSG00000164651	4	4	1	9	0	0	0	0
ENSG00000105866	344	276	561	753	2054	2471	2151	2452
ENSG00000105877	36	21	7	18	75	89	78	93
ENSG00000164649	307	274	350	420	2382	2629	2148	2886
ENSG00000136237	2	5	3	14	13	15	10	23
ENSG00000105889	323752	356225	220231	293254	189119	199288	161129	210398
ENSG00000136244	20	30	7	14	0	0	0	0
ENSG00000196683	3579	4059	2122	3167	11477	13984	10894	12712
ENSG00000122591	206	169	391	445	1008	1069	976	1193
ENSG00000122550	305	298	375	528	767	951	803	832
ENSG00000136243	122	133	207	255	772	752	582	814
ENSG00000136235	6	14	1	3	749	498	280	851
ENSG00000156928	276	277	375	495	778	747	629	884
ENSG00000136231	227	156	137	174	257	228	192	256
ENSG00000164548	487	454	381	515	1474	1425	1131	1498
ENSG00000169193	28	43	56	77	322	407	284	336
ENSG00000188732	37	45	55	62	92	103	93	106
ENSG00000196335	2	1	0	0	0	1	0	6
ENSG00000122585	0	0	0	0	0	0	0	0
ENSG00000105926	151	146	115	148	361	282	222	336
ENSG00000105928	59	53	75	97	325	257	225	410
ENSG00000070882	80	82	127	142	317	401	365	343
ENSG00000172115	193	218	363	542	2529	2398	2110	2763
ENSG00000153790	126	111	115	134	373	443	357	438
ENSG00000105954	0	0	0	0	0	0	0	0
ENSG00000050344	81	61	85	96	133	120	97	114
ENSG00000122566	7339	9207	6214	8276	18334	21442	16711	23616
ENSG00000122565	1088	1218	1047	1515	5165	5411	4453	5737
ENSG00000086300	643	586	784	1115	3562	4129	3377	3932
ENSG00000280255	0	0	0	0	3	6	3	1
ENSG00000005020	682	663	698	980	3190	3583	2942	3776
ENSG00000105991	10	4	3	3	11	4	6	11
ENSG00000105996	6	1	4	4	0	0	1	0
ENSG00000105997	5	4	8	9	5	1	1	2
ENSG00000197576	0	0	0	0	0	0	0	0
ENSG00000106004	0	0	0	0	0	0	0	0
ENSG00000106006	0	0	0	0	0	0	0	0
ENSG00000122592	26	38	19	35	0	0	0	2
ENSG00000078399	0	0	0	0	0	0	0	0
ENSG00000257184	0	0	0	0	0	0	0	0
ENSG00000253293	2	9	12	11	0	0	0	0
ENSG00000005073	51	44	29	42	0	0	0	0
ENSG00000106031	0	0	0	0	0	0	0	0
ENSG00000106038	1	0	0	0	0	0	0	0
ENSG00000279655	0	0	0	0	0	0	0	0
ENSG00000279429	0	0	0	0	0	0	0	0
ENSG00000106049	222	205	237	308	643	614	560	788
ENSG00000106052	1765	1977	1423	1884	3914	4613	3791	4990
ENSG00000153814	69	38	159	201	718	754	663	770
ENSG00000146592	12	5	7	4	2	1	1	8
ENSG00000255690	0	0	0	0	0	0	0	0
ENSG00000106066	1	6	0	0	14	13	12	14
ENSG00000106069	5	7	3	0	3	6	11	5
ENSG00000176532	0	0	0	0	0	0	0	1
ENSG00000122574	1	3	0	1	0	1	0	4
ENSG00000136193	2608	2242	3801	4615	6203	6976	6199	7533
ENSG00000106080	51	68	88	107	83	98	71	95
ENSG00000106086	169	153	179	283	326	299	230	364
ENSG00000180354	141	126	48	75	865	995	983	1027
ENSG00000180233	207	205	204	208	620	706	579	729
ENSG00000281593	193	145	147	195	916	999	883	1017
ENSG00000106100	289	233	120	124	457	496	383	487
ENSG00000006625	162	182	63	114	172	203	153	180
ENSG00000281039	32	26	24	45	89	73	63	58
ENSG00000106105	1454	1453	3313	4054	7898	7212	5924	9245
ENSG00000106113	2	0	1	2	20	11	9	5
ENSG00000241644	1	0	0	0	0	0	0	0
ENSG00000254959	0	0	0	0	0	0	0	0
ENSG00000106125	0	0	0	0	0	0	0	0
ENSG00000250424	0	0	0	0	0	0	0	0
ENSG00000240583	1	5	0	0	0	0	0	0
ENSG00000106128	4	0	0	0	1	0	0	0
ENSG00000078549	0	0	0	1	1	0	0	0
ENSG00000164600	0	0	0	0	0	0	0	0
ENSG00000180347	0	0	0	0	0	0	0	0
ENSG00000106341	0	0	0	0	0	0	0	0
ENSG00000154678	4	0	3	4	2	13	2	2
ENSG00000106355	137	164	175	266	922	979	768	1063
ENSG00000105778	969	887	1148	1456	2475	2572	2030	2664
ENSG00000170852	599	495	420	513	1847	1810	1435	1770
ENSG00000122642	63	59	28	56	23	38	24	33
ENSG00000122643	283	296	296	556	1284	1072	989	1211
ENSG00000164610	251	229	222	194	1231	1565	1305	1440
ENSG00000122507	84	72	125	154	568	675	499	654
ENSG00000164619	2	1	4	1	3	3	1	4
ENSG00000187258	3	0	0	0	3	5	0	3
ENSG00000173852	57	43	70	49	263	288	246	283
ENSG00000164532	1	0	0	0	1	0	0	0
ENSG00000122557	605	573	647	915	1939	2324	1878	2263
ENSG00000122545	3465	3805	3647	5074	14045	15402	12812	16974
ENSG00000122547	5	3	4	2	8	10	7	9
ENSG00000164542	1	4	0	1	13	9	9	16
ENSG00000011426	48	43	67	61	0	0	0	1
ENSG00000136250	83	109	7	6	48	49	44	51
ENSG00000155849	3482	2859	1525	1905	2344	2550	2323	3203
ENSG00000187037	0	0	0	0	0	0	0	0
ENSG00000290149	0	1	0	1	1	0	0	0
ENSG00000086288	0	0	0	0	0	0	0	0
ENSG00000106483	0	0	0	0	0	0	0	0
ENSG00000086289	0	0	0	0	0	0	0	0
ENSG00000010270	195	187	399	505	1160	1264	957	1206
ENSG00000227191	55	63	0	0	7	2	1	4
ENSG00000211687	0	0	0	0	0	0	0	0
ENSG00000211688	0	0	0	0	0	0	0	0
ENSG00000211689	2	0	0	0	0	1	0	2
ENSG00000289746	0	0	0	0	0	0	0	0
ENSG00000211690	0	0	0	0	0	0	0	0
ENSG00000211691	0	0	0	0	0	0	0	0
ENSG00000211692	0	0	0	0	0	0	0	0
ENSG00000211693	0	0	0	0	0	0	0	0
ENSG00000211694	8	2	0	0	0	0	1	0
ENSG00000211695	10	5	1	0	0	1	0	2
ENSG00000211696	2	0	0	0	0	3	0	0
ENSG00000211697	6	0	4	4	5	5	14	10
ENSG00000211698	1	5	11	12	16	15	10	6
ENSG00000211699	3	1	9	17	27	33	46	50
ENSG00000233306	7	6	1	0	13	1	3	3
ENSG00000211701	0	0	0	0	3	3	0	0
ENSG00000078053	3	3	1	2	4	3	2	0
ENSG00000006715	376	345	659	905	2309	2557	2107	2818
ENSG00000106536	1	7	0	3	2	5	2	3
ENSG00000241127	48	29	54	85	253	297	234	279
ENSG00000006451	713	820	706	1079	1587	1698	1523	1801
ENSG00000065883	838	597	679	860	2496	3017	2487	3098
ENSG00000168303	216	274	240	363	1079	1192	949	1231
ENSG00000175600	6	3	8	13	25	18	21	24
ENSG00000122641	408	467	4	9	0	0	0	1
ENSG00000106571	5	9	11	11	1	3	11	2
ENSG00000136197	0	0	0	0	0	0	0	0
ENSG00000256646	0	0	0	0	0	0	0	1
ENSG00000106588	0	0	0	0	0	0	0	0
ENSG00000106591	426	440	425	534	1072	1184	1006	1302
ENSG00000002746	4	3	5	5	11	8	8	13
ENSG00000164543	216	235	210	255	1173	1416	1116	1335
ENSG00000106603	9	24	11	28	32	45	45	43
ENSG00000106605	456	521	451	598	185	199	131	187
ENSG00000062582	0	0	0	0	0	0	0	0
ENSG00000270617	0	0	0	1	4	11	8	19
ENSG00000106608	53	64	46	43	50	80	80	76
ENSG00000078967	196	243	294	428	930	969	850	1009
ENSG00000136206	23	11	15	31	81	53	43	69
ENSG00000136279	1816	1768	2458	2800	6555	7022	5964	7970
ENSG00000164708	0	0	0	0	0	0	0	0
ENSG00000122678	462	410	342	384	873	992	899	1225
ENSG00000106624	575	514	353	348	295	369	315	454
ENSG00000106628	325	352	567	585	2522	2465	2148	2994
ENSG00000106631	0	2	0	0	0	0	0	0
ENSG00000106633	1	1	3	2	25	46	45	47
ENSG00000106636	153	137	281	372	699	888	726	946
ENSG00000058404	56	54	38	62	4	1	4	1
ENSG00000279853	0	0	0	3	0	2	3	0
ENSG00000015676	1418	1394	1379	1531	3979	4415	3757	4623
ENSG00000015520	2	0	1	1	0	2	1	2
ENSG00000136271	310	267	399	416	1675	1823	1509	2103
ENSG00000158604	1219	1241	845	1043	2593	3002	2594	3101
ENSG00000105953	1530	1256	1648	1907	5700	6844	5462	6573
ENSG00000122515	1488	1224	1462	1678	3518	3493	3140	4948
ENSG00000196262	12326	12215	8570	11268	36377	41228	35403	45939
ENSG00000105968	570	629	723	971	3983	4772	3750	4664
ENSG00000146676	345	380	534	698	1295	1329	1125	1473
ENSG00000136286	3484	3547	2334	2690	1849	2152	1847	2145
ENSG00000136280	2111	2117	2099	2334	4399	5157	4668	5583
ENSG00000136274	86	84	93	58	2	13	14	6
ENSG00000136270	595	546	593	734	1432	1384	1199	1732
ENSG00000122679	2	2	0	0	0	0	0	0
ENSG00000164742	8	4	2	2	4	1	1	1
ENSG00000283247	0	0	0	0	0	0	1	0
ENSG00000146678	0	0	0	0	0	0	0	0
ENSG00000146674	8	17	0	0	0	2	3	0
ENSG00000136205	2492	1684	714	843	1666	1801	1693	2024
ENSG00000158683	58	56	52	62	712	748	705	706
ENSG00000136273	144	138	213	266	602	643	534	680
ENSG00000164744	1	0	0	4	6	1	4	8
ENSG00000164746	0	0	0	0	0	0	0	0
ENSG00000183696	152	178	61	98	74	102	59	76
ENSG00000179869	9	5	9	3	6	10	11	19
ENSG00000279578	0	0	0	0	0	0	0	1
ENSG00000218305	8	11	8	12	10	20	12	20
ENSG00000279104	0	0	0	0	0	0	0	0
ENSG00000188730	0	1	0	0	0	0	0	1
ENSG00000042813	5	1	0	2	2	0	2	3
ENSG00000164500	83	70	1	19	35	37	38	60
ENSG00000185811	7954	6127	6162	8193	13924	13937	12620	16340
ENSG00000132436	104	95	156	174	534	599	444	648
ENSG00000132437	0	0	0	0	0	0	0	0
ENSG00000106070	8	12	1	1	3	2	1	4
ENSG00000106078	0	1	2	1	16	14	4	13
ENSG00000221900	0	0	0	0	0	0	0	0
ENSG00000170419	2	0	1	0	0	0	0	0
ENSG00000132432	446	523	408	568	723	650	506	861
ENSG00000146648	2	2	0	2	3	0	0	0
ENSG00000132434	148	130	232	278	674	714	607	805
ENSG00000154978	20929	19382	19866	25103	55053	60943	50805	65718
ENSG00000154997	0	0	1	1	2	4	0	1
ENSG00000249773	1	3	0	0	9	4	7	9
ENSG00000178665	0	0	0	0	0	0	0	0
ENSG00000146729	435	432	463	667	1589	1683	1415	1709
ENSG00000239789	0	0	0	0	0	0	0	0
ENSG00000146733	32	40	130	205	551	544	463	618
ENSG00000146731	1363	1359	1884	2633	6394	6516	5728	7564
ENSG00000129103	1500	1546	1577	1843	6171	6388	5366	7126
ENSG00000164776	9	8	3	2	3	5	6	1
ENSG00000106153	3105	3515	3344	4633	9703	9572	8512	11252
ENSG00000185290	0	0	0	0	0	1	0	1
ENSG00000185177	0	0	0	0	1	0	0	0
ENSG00000280225	0	0	0	0	0	0	0	0
ENSG00000182111	0	0	0	0	0	0	0	0
ENSG00000241149	3	0	0	0	3	0	0	0
ENSG00000214652	3	0	3	1	8	2	2	4
ENSG00000223614	0	0	0	0	0	1	0	0
ENSG00000197123	0	1	0	0	0	0	0	0
ENSG00000234444	435	313	574	784	2177	2308	1888	2262
ENSG00000173041	133	122	139	223	461	504	447	533
ENSG00000196247	493	454	607	993	7744	8833	7702	8882
ENSG00000197008	119	131	138	179	412	518	343	525
ENSG00000198039	82	83	76	127	418	494	375	445
ENSG00000152926	107	91	126	196	609	679	548	690
ENSG00000213462	0	0	0	0	0	0	0	0
ENSG00000146757	300	261	239	403	4685	5036	4224	5094
ENSG00000196715	165	191	414	543	1627	1741	1322	1809
ENSG00000169919	360	385	312	353	1572	1723	1464	1871
ENSG00000126522	84	82	165	194	258	307	260	381
ENSG00000249319	3	2	0	2	7	5	0	5
ENSG00000241258	271	281	254	380	888	1003	846	1101
ENSG00000169902	98	91	101	128	82	80	57	91
ENSG00000279785	0	0	0	0	0	0	0	0
ENSG00000243335	0	0	0	0	0	0	0	0
ENSG00000284461	22	16	15	34	76	83	68	85
ENSG00000154710	12	5	4	5	14	24	20	19
ENSG00000106609	1520	1426	1715	2091	7123	8108	7194	8633
ENSG00000126524	769	805	478	637	1230	1406	1122	1492
ENSG00000198874	336	312	375	452	1100	1254	1105	1320
ENSG00000230358	12	5	19	17	39	30	45	32
ENSG00000158321	48	31	9	17	337	397	314	404
ENSG00000185274	10	2	5	2	3	3	8	8
ENSG00000183166	7	6	4	2	5	5	10	6
ENSG00000277149	35	37	46	53	167	199	157	226
ENSG00000196313	2370	1820	1698	2093	5384	6063	5298	7366
ENSG00000155428	16	27	13	25	51	69	40	58
ENSG00000273520	10	3	7	12	30	28	23	25
ENSG00000275976	40	39	55	56	138	169	86	150
ENSG00000262461	6	12	11	13	32	37	22	33
ENSG00000274570	136	137	99	102	282	286	251	362
ENSG00000130305	530	530	487	539	1504	1636	1483	1802
ENSG00000146755	0	3	2	2	3	4	0	6
ENSG00000077800	4	3	8	1	23	32	15	20
ENSG00000188763	0	1	0	0	0	2	0	0
ENSG00000009954	1484	1214	1045	1402	3215	4317	3485	4759
ENSG00000106635	324	358	544	596	1954	2249	1911	2161
ENSG00000106638	325	319	336	505	987	977	900	1096
ENSG00000009950	2	3	0	0	0	2	0	0
ENSG00000176428	66	67	27	37	0	5	2	3
ENSG00000176410	104	99	150	152	527	565	452	634
ENSG00000071462	314	349	533	678	2333	2223	1855	2693
ENSG00000106089	7	7	2	15	10	2	10	3
ENSG00000106077	18	26	56	60	128	133	121	172
ENSG00000165215	1	0	0	0	0	0	0	0
ENSG00000189143	0	2	1	2	0	4	3	1
ENSG00000165171	0	0	1	2	10	3	2	10
ENSG00000175877	0	0	0	0	0	0	0	0
ENSG00000049540	0	3	0	0	1	2	0	1
ENSG00000106683	909	825	1188	1243	1862	1937	1847	2328
ENSG00000106682	7944	8267	6926	8838	12667	13302	10819	14825
ENSG00000086730	2165	2186	2755	3428	1448	1425	1264	1781
ENSG00000049541	297	327	436	526	722	796	635	870
ENSG00000106665	1605	1456	1604	1979	29	52	23	47
ENSG00000006704	9	16	5	4	14	9	12	12
ENSG00000279005	0	0	0	0	0	0	0	0
ENSG00000263001	2309	2039	1662	2163	8462	9570	7848	10157
ENSG00000158517	4861	5043	1149	1552	3951	4899	3971	4999
ENSG00000289346	119	112	96	103	256	280	184	315
ENSG00000196275	0	0	0	0	0	0	0	0
ENSG00000184616	44	39	80	73	176	168	136	192
ENSG00000274070	55	34	24	20	101	76	90	115
ENSG00000274523	430	526	523	608	1965	2144	1747	2429
ENSG00000174428	208	210	107	154	878	1059	873	1058
ENSG00000286038	20	28	24	53	79	71	40	109
ENSG00000286137	20	28	26	47	100	60	54	101
ENSG00000286014	3	4	4	21	41	14	19	38
ENSG00000178809	25	40	35	43	108	129	98	108
ENSG00000272391	1579	1189	1151	1306	3576	4161	3725	4902
ENSG00000170092	18	12	9	17	31	26	28	27
ENSG00000127946	121	134	52	52	82	117	64	89
ENSG00000279996	0	0	0	0	0	0	0	0
ENSG00000006606	0	1	0	0	0	0	0	0
ENSG00000106178	153	117	1	0	0	0	0	0
ENSG00000005486	445	384	303	256	1146	1262	1011	1262
ENSG00000127948	1898	1842	1084	1290	1636	2017	1536	2221
ENSG00000189077	9700	10228	3327	4322	476	562	558	641
ENSG00000127952	434	441	391	494	864	912	691	939
ENSG00000280388	0	0	0	0	0	0	0	0
ENSG00000146701	2100	2237	2336	2794	4849	4985	4224	5455
ENSG00000177679	0	2	2	1	1	0	2	5
ENSG00000106211	907	871	1028	1111	1679	1491	1436	2244
ENSG00000170027	2719	2599	2902	3707	5450	5644	4482	6372
ENSG00000146700	0	1	1	4	6	3	0	9
ENSG00000188372	26	20	4	7	23	8	20	32
ENSG00000091073	633	508	1199	1296	857	868	797	1018
ENSG00000243566	5	1	0	0	3	0	0	1
ENSG00000185040	21	9	14	12	30	38	15	26
ENSG00000146707	96	109	70	78	311	271	240	321
ENSG00000186645	31	31	46	42	97	133	101	123
ENSG00000205482	30	14	12	6	41	50	34	46
ENSG00000135205	41	23	22	36	39	32	36	29
ENSG00000127951	0	0	0	0	0	0	0	0
ENSG00000186088	202	172	171	270	902	906	761	909
ENSG00000127947	749	771	608	812	3640	4082	3360	4396
ENSG00000187257	520	515	554	683	1981	2099	1804	2232
ENSG00000135211	437	462	340	456	879	963	766	912
ENSG00000006576	374	367	469	695	2486	2461	2220	2577
ENSG00000187391	14	14	17	9	34	35	34	21
ENSG00000281008	0	0	0	0	0	0	0	0
ENSG00000280958	0	0	0	0	0	0	0	0
ENSG00000127955	6	4	5	1	7	4	2	12
ENSG00000135218	6	13	1	1	50	42	35	52
ENSG00000214415	0	0	0	0	0	0	0	0
ENSG00000075223	4	8	1	3	3	0	7	4
ENSG00000279326	0	0	0	0	0	0	0	1
ENSG00000019991	0	0	0	1	4	0	0	3
ENSG00000153956	3	11	4	3	5	3	5	6
ENSG00000186472	3	1	0	0	2	18	6	6
ENSG00000170381	2	5	7	3	22	28	38	27
ENSG00000285398	0	0	0	0	0	0	0	0
ENSG00000075213	6	2	2	4	4	1	1	12
ENSG00000280325	70	47	21	33	67	57	44	72
ENSG00000153993	3	0	1	0	4	2	7	0
ENSG00000198822	2	0	3	4	20	8	10	11
ENSG00000164659	16	19	130	132	707	861	677	937
ENSG00000135164	400	276	308	476	840	900	706	902
ENSG00000135185	464	529	686	963	2292	2410	1898	2630
ENSG00000005469	31	15	47	56	250	248	227	243
ENSG00000005471	19	19	88	103	1595	1660	1425	1808
ENSG00000085563	50	35	46	42	310	333	309	318
ENSG00000105784	2	1	1	1	2	2	3	0
ENSG00000075303	142	143	155	227	561	667	499	629
ENSG00000006634	106	91	100	154	730	756	609	834
ENSG00000008277	20	11	9	8	16	12	10	14
ENSG00000075142	708	808	1225	1570	1551	1586	1231	1785
ENSG00000127954	5	2	0	2	0	1	0	0
ENSG00000182348	5	6	4	1	3	0	0	0
ENSG00000164645	0	0	0	0	0	0	0	0
ENSG00000164647	0	0	0	0	0	0	0	0
ENSG00000157214	0	1	0	0	4	0	0	0
ENSG00000105792	0	0	0	1	0	0	0	1
ENSG00000283267	0	0	0	0	0	0	0	0
ENSG00000105793	64	59	114	164	416	442	343	447
ENSG00000280440	0	0	0	0	0	0	0	0
ENSG00000157224	32	41	34	56	48	34	26	35
ENSG00000058091	1642	1501	1582	2195	19094	21338	17889	22506
ENSG00000251154	0	0	0	0	0	0	0	0
ENSG00000157240	19	23	16	11	120	162	138	175
ENSG00000127989	84	88	93	135	531	520	448	564
ENSG00000127914	77	82	33	81	229	365	294	420
ENSG00000001630	1	0	0	0	15	2	4	5
ENSG00000285772	0	0	0	0	0	0	0	0
ENSG00000289027	0	0	0	0	0	0	0	0
ENSG00000240720	0	0	0	0	0	0	0	0
ENSG00000285953	0	0	0	0	0	0	0	0
ENSG00000001631	0	0	0	0	0	0	0	0
ENSG00000001629	452	397	770	910	1363	1385	1160	1567
ENSG00000157259	231	203	301	353	866	968	865	1004
ENSG00000242950	1	0	3	3	7	5	4	8
ENSG00000127980	88	89	159	203	518	588	493	673
ENSG00000127993	107	98	81	129	676	742	584	681
ENSG00000234545	113	104	92	105	481	495	372	504
ENSG00000105810	83	53	84	52	30	25	19	50
ENSG00000205413	30	24	226	298	2013	1921	1850	2494
ENSG00000177409	107	119	831	1322	2282	2186	1923	2577
ENSG00000188175	2	0	1	0	6	7	6	2
ENSG00000004766	97	86	174	293	877	964	802	889
ENSG00000004948	1	0	0	0	0	0	1	2
ENSG00000127928	955	1048	990	997	527	281	447	615
ENSG00000105825	0	0	0	0	0	0	0	0
ENSG00000127920	1	3	1	9	1	0	0	0
ENSG00000278959	6	1	2	7	0	0	0	2
ENSG00000105829	118	118	243	313	735	626	547	688
ENSG00000164692	76	70	102	97	24	24	16	26
ENSG00000127995	23	12	27	42	208	245	181	238
ENSG00000127990	373	357	307	445	2084	2197	1853	2315
ENSG00000242265	42	35	136	162	4703	5398	4481	5469
ENSG00000158528	126	93	96	127	470	486	357	562
ENSG00000005421	0	0	0	0	1	3	0	0
ENSG00000105852	1	0	0	0	0	0	0	0
ENSG00000105854	0	0	0	2	23	22	13	23
ENSG00000005981	0	1	0	0	2	0	1	1
ENSG00000279525	0	0	0	0	0	0	0	0
ENSG00000004799	3	4	3	3	78	83	49	65
ENSG00000158560	2	5	0	0	2	3	1	0
ENSG00000279067	0	0	0	0	0	0	0	0
ENSG00000004864	99	98	115	149	289	334	278	344
ENSG00000127922	844	1030	753	1068	1191	1302	981	1363
ENSG00000006377	0	0	0	0	0	0	0	0
ENSG00000105880	0	0	0	0	0	0	0	0
ENSG00000196636	40	53	70	112	370	427	290	376
ENSG00000006128	0	0	0	0	0	0	0	0
ENSG00000070669	262	291	1159	1447	4303	3765	3283	4670
ENSG00000135175	0	0	0	0	0	1	0	1
ENSG00000164715	130	104	125	159	580	735	526	735
ENSG00000180535	0	2	21	15	2	1	1	0
ENSG00000205356	84	98	142	185	820	963	871	1192
ENSG00000164713	923	984	673	893	646	785	560	778
ENSG00000006453	10711	12866	7016	10598	16080	17651	13556	15222
ENSG00000106236	0	0	0	0	0	0	1	0
ENSG00000166448	0	0	0	0	1	1	0	1
ENSG00000196367	988	584	1121	1328	4001	4038	3464	4569
ENSG00000198742	111	71	111	98	150	175	112	201
ENSG00000185467	1	1	1	0	4	1	3	0
